Tweet,Sentiment
Another sleepless night due to HMPV in Canada.,Sad
Another sleepless night due to HMPV in Australia.,Angry
Another sleepless night due to HMPV in Ohio.,Happy
Media ignoring the HMPV situation in California.,Shocked
Huge relief—negative HMPV results in Texas.,Happy
My child is suffering from HMPV in Australia.,Shocked
Huge relief—negative HMPV results in Ohio.,Shocked
Good news! Fewer HMPV cases in Florida.,Happy
My child is suffering from HMPV in New York.,Sad
Huge relief—negative HMPV results in Australia.,Happy
HMPV cases rising in Florida.,Angry
Another sleepless night due to HMPV in Texas.,Sad
Huge relief—negative HMPV results in Germany.,Happy
Doctors report new HMPV symptoms in Germany.,Shocked
I’m scared of how fast HMPV is spreading in Texas.,Happy
Huge relief—negative HMPV results in Texas.,Sad
I’m scared of how fast HMPV is spreading in Florida.,Shocked
Good news! Fewer HMPV cases in UK.,Sad
My child is suffering from HMPV in New York.,Happy
"Finally, a vaccine for HMPV might be coming in California.",Shocked
"Finally, a vaccine for HMPV might be coming in UK.",Shocked
My child is suffering from HMPV in Texas.,Happy
HMPV cases rising in California.,Sad
Good news! Fewer HMPV cases in UK.,Happy
Why is nobody covering the HMPV outbreak in Texas.,Sad
Doctors report new HMPV symptoms in California.,Shocked
Another sleepless night due to HMPV in Canada.,Happy
Huge relief—negative HMPV results in New York.,Angry
My child is suffering from HMPV in California.,Angry
Media ignoring the HMPV situation in Ohio.,Shocked
Good news! Fewer HMPV cases in California.,Sad
My child is suffering from HMPV in UK.,Sad
Good news! Fewer HMPV cases in Ohio.,Shocked
Another sleepless night due to HMPV in Germany.,Shocked
Doctors report new HMPV symptoms in UK.,Angry
HMPV cases rising in Texas.,Sad
Huge relief—negative HMPV results in Germany.,Sad
"Finally, a vaccine for HMPV might be coming in India.",Shocked
Media ignoring the HMPV situation in Australia.,Happy
Another sleepless night due to HMPV in Ohio.,Sad
I’m scared of how fast HMPV is spreading in Texas.,Sad
Media ignoring the HMPV situation in Florida.,Sad
"Finally, a vaccine for HMPV might be coming in Texas.",Sad
Why is nobody covering the HMPV outbreak in Florida.,Shocked
HMPV cases rising in India.,Sad
Huge relief—negative HMPV results in Canada.,Sad
My child is suffering from HMPV in Florida.,Angry
HMPV cases rising in Ohio.,Angry
My child is suffering from HMPV in Texas.,Angry
Doctors report new HMPV symptoms in India.,Happy
Good news! Fewer HMPV cases in Florida.,Happy
Why is nobody covering the HMPV outbreak in Canada.,Happy
"Finally, a vaccine for HMPV might be coming in Florida.",Happy
My child is suffering from HMPV in Florida.,Shocked
My child is suffering from HMPV in UK.,Angry
Good news! Fewer HMPV cases in Texas.,Angry
"Finally, a vaccine for HMPV might be coming in Canada.",Angry
I’m scared of how fast HMPV is spreading in Canada.,Happy
My child is suffering from HMPV in California.,Sad
Another sleepless night due to HMPV in India.,Sad
Media ignoring the HMPV situation in Germany.,Shocked
Media ignoring the HMPV situation in Australia.,Angry
Why is nobody covering the HMPV outbreak in Australia.,Sad
My child is suffering from HMPV in Canada.,Sad
Another sleepless night due to HMPV in New York.,Shocked
Why is nobody covering the HMPV outbreak in Ohio.,Shocked
"Finally, a vaccine for HMPV might be coming in Texas.",Happy
Huge relief—negative HMPV results in UK.,Sad
My child is suffering from HMPV in Germany.,Shocked
Another sleepless night due to HMPV in New York.,Shocked
Good news! Fewer HMPV cases in Florida.,Shocked
I’m scared of how fast HMPV is spreading in Canada.,Shocked
I’m scared of how fast HMPV is spreading in New York.,Shocked
Huge relief—negative HMPV results in Florida.,Sad
Doctors report new HMPV symptoms in Canada.,Sad
Doctors report new HMPV symptoms in Florida.,Shocked
My child is suffering from HMPV in California.,Happy
Doctors report new HMPV symptoms in Florida.,Sad
Doctors report new HMPV symptoms in Canada.,Shocked
Another sleepless night due to HMPV in UK.,Shocked
Media ignoring the HMPV situation in Ohio.,Shocked
My child is suffering from HMPV in New York.,Sad
Doctors report new HMPV symptoms in California.,Shocked
Doctors report new HMPV symptoms in New York.,Sad
Media ignoring the HMPV situation in California.,Angry
I’m scared of how fast HMPV is spreading in California.,Angry
My child is suffering from HMPV in Ohio.,Angry
I’m scared of how fast HMPV is spreading in California.,Sad
Media ignoring the HMPV situation in New York.,Happy
Doctors report new HMPV symptoms in Australia.,Angry
"Finally, a vaccine for HMPV might be coming in Texas.",Happy
Huge relief—negative HMPV results in UK.,Sad
Media ignoring the HMPV situation in New York.,Happy
I’m scared of how fast HMPV is spreading in Florida.,Angry
Media ignoring the HMPV situation in Germany.,Happy
Good news! Fewer HMPV cases in New York.,Happy
Why is nobody covering the HMPV outbreak in India.,Angry
My child is suffering from HMPV in Ohio.,Shocked
Doctors report new HMPV symptoms in UK.,Shocked
Why is nobody covering the HMPV outbreak in California.,Shocked
"Finally, a vaccine for HMPV might be coming in New York.",Angry
Good news! Fewer HMPV cases in Texas.,Angry
Another sleepless night due to HMPV in Australia.,Happy
Another sleepless night due to HMPV in Ohio.,Sad
Good news! Fewer HMPV cases in Florida.,Happy
Another sleepless night due to HMPV in Germany.,Angry
HMPV cases rising in Germany.,Happy
Media ignoring the HMPV situation in Australia.,Angry
My child is suffering from HMPV in Texas.,Sad
I’m scared of how fast HMPV is spreading in Ohio.,Shocked
HMPV cases rising in Florida.,Sad
"Finally, a vaccine for HMPV might be coming in Texas.",Sad
HMPV cases rising in Germany.,Sad
I’m scared of how fast HMPV is spreading in Germany.,Shocked
My child is suffering from HMPV in California.,Angry
Doctors report new HMPV symptoms in Florida.,Happy
I’m scared of how fast HMPV is spreading in UK.,Angry
Good news! Fewer HMPV cases in Germany.,Happy
Huge relief—negative HMPV results in Australia.,Happy
Good news! Fewer HMPV cases in UK.,Shocked
Media ignoring the HMPV situation in UK.,Sad
I’m scared of how fast HMPV is spreading in New York.,Sad
Doctors report new HMPV symptoms in Ohio.,Happy
My child is suffering from HMPV in Germany.,Sad
My child is suffering from HMPV in Australia.,Sad
I’m scared of how fast HMPV is spreading in Florida.,Happy
"Finally, a vaccine for HMPV might be coming in India.",Sad
HMPV cases rising in Texas.,Shocked
Good news! Fewer HMPV cases in New York.,Sad
HMPV cases rising in Ohio.,Angry
HMPV cases rising in India.,Sad
Why is nobody covering the HMPV outbreak in India.,Happy
My child is suffering from HMPV in Germany.,Angry
Media ignoring the HMPV situation in Texas.,Angry
I’m scared of how fast HMPV is spreading in Texas.,Happy
Media ignoring the HMPV situation in UK.,Sad
Another sleepless night due to HMPV in Australia.,Happy
My child is suffering from HMPV in Texas.,Sad
Good news! Fewer HMPV cases in Florida.,Shocked
Media ignoring the HMPV situation in California.,Happy
Good news! Fewer HMPV cases in India.,Sad
Another sleepless night due to HMPV in Florida.,Sad
Media ignoring the HMPV situation in California.,Angry
Doctors report new HMPV symptoms in Texas.,Happy
HMPV cases rising in Canada.,Sad
Good news! Fewer HMPV cases in Germany.,Sad
HMPV cases rising in UK.,Happy
I’m scared of how fast HMPV is spreading in India.,Shocked
Media ignoring the HMPV situation in Ohio.,Angry
"Finally, a vaccine for HMPV might be coming in India.",Angry
Media ignoring the HMPV situation in UK.,Shocked
Good news! Fewer HMPV cases in California.,Angry
I’m scared of how fast HMPV is spreading in Australia.,Shocked
Doctors report new HMPV symptoms in Germany.,Shocked
Why is nobody covering the HMPV outbreak in Germany.,Happy
Good news! Fewer HMPV cases in Florida.,Happy
Media ignoring the HMPV situation in California.,Angry
Doctors report new HMPV symptoms in Germany.,Angry
HMPV cases rising in Germany.,Happy
My child is suffering from HMPV in Canada.,Shocked
Media ignoring the HMPV situation in UK.,Shocked
Huge relief—negative HMPV results in UK.,Happy
HMPV cases rising in India.,Happy
"Finally, a vaccine for HMPV might be coming in Germany.",Sad
My child is suffering from HMPV in India.,Shocked
Why is nobody covering the HMPV outbreak in Florida.,Sad
HMPV cases rising in Ohio.,Angry
HMPV cases rising in India.,Angry
Why is nobody covering the HMPV outbreak in India.,Sad
My child is suffering from HMPV in India.,Happy
Huge relief—negative HMPV results in Texas.,Happy
"Finally, a vaccine for HMPV might be coming in UK.",Shocked
Doctors report new HMPV symptoms in Australia.,Happy
"Finally, a vaccine for HMPV might be coming in UK.",Angry
My child is suffering from HMPV in UK.,Happy
HMPV cases rising in Ohio.,Sad
Doctors report new HMPV symptoms in UK.,Shocked
Doctors report new HMPV symptoms in Australia.,Angry
Another sleepless night due to HMPV in Australia.,Shocked
Media ignoring the HMPV situation in Germany.,Angry
Doctors report new HMPV symptoms in California.,Angry
Another sleepless night due to HMPV in Germany.,Angry
Another sleepless night due to HMPV in New York.,Happy
Another sleepless night due to HMPV in India.,Happy
Another sleepless night due to HMPV in Germany.,Shocked
Another sleepless night due to HMPV in Texas.,Happy
HMPV cases rising in California.,Shocked
HMPV cases rising in California.,Shocked
My child is suffering from HMPV in Germany.,Sad
I’m scared of how fast HMPV is spreading in India.,Sad
My child is suffering from HMPV in Germany.,Shocked
I’m scared of how fast HMPV is spreading in Australia.,Angry
I’m scared of how fast HMPV is spreading in Ohio.,Angry
I’m scared of how fast HMPV is spreading in Germany.,Shocked
Why is nobody covering the HMPV outbreak in Canada.,Angry
"Finally, a vaccine for HMPV might be coming in Australia.",Shocked
Good news! Fewer HMPV cases in Texas.,Happy
I’m scared of how fast HMPV is spreading in New York.,Angry
"Finally, a vaccine for HMPV might be coming in Germany.",Angry
HMPV cases rising in Ohio.,Sad
Good news! Fewer HMPV cases in Australia.,Angry
"Finally, a vaccine for HMPV might be coming in Germany.",Shocked
I’m scared of how fast HMPV is spreading in Canada.,Happy
Doctors report new HMPV symptoms in Canada.,Sad
Doctors report new HMPV symptoms in California.,Angry
Another sleepless night due to HMPV in UK.,Sad
Media ignoring the HMPV situation in Florida.,Sad
My child is suffering from HMPV in India.,Happy
Doctors report new HMPV symptoms in UK.,Shocked
HMPV cases rising in California.,Happy
Doctors report new HMPV symptoms in California.,Angry
Another sleepless night due to HMPV in India.,Shocked
Good news! Fewer HMPV cases in California.,Sad
Good news! Fewer HMPV cases in UK.,Angry
Media ignoring the HMPV situation in Canada.,Happy
Huge relief—negative HMPV results in UK.,Sad
Doctors report new HMPV symptoms in Germany.,Shocked
Why is nobody covering the HMPV outbreak in Australia.,Sad
Good news! Fewer HMPV cases in New York.,Shocked
Good news! Fewer HMPV cases in Texas.,Sad
Another sleepless night due to HMPV in Germany.,Happy
My child is suffering from HMPV in UK.,Shocked
HMPV cases rising in California.,Sad
HMPV cases rising in UK.,Shocked
I’m scared of how fast HMPV is spreading in California.,Sad
Why is nobody covering the HMPV outbreak in Texas.,Shocked
"Finally, a vaccine for HMPV might be coming in Australia.",Angry
Media ignoring the HMPV situation in Texas.,Sad
Doctors report new HMPV symptoms in Germany.,Sad
Huge relief—negative HMPV results in Texas.,Angry
"Finally, a vaccine for HMPV might be coming in Texas.",Happy
"Finally, a vaccine for HMPV might be coming in Canada.",Angry
Media ignoring the HMPV situation in India.,Sad
HMPV cases rising in New York.,Shocked
Good news! Fewer HMPV cases in Canada.,Shocked
Doctors report new HMPV symptoms in Germany.,Angry
Why is nobody covering the HMPV outbreak in Ohio.,Sad
Media ignoring the HMPV situation in Canada.,Shocked
HMPV cases rising in New York.,Happy
I’m scared of how fast HMPV is spreading in Germany.,Angry
I’m scared of how fast HMPV is spreading in Australia.,Sad
Good news! Fewer HMPV cases in Canada.,Happy
Another sleepless night due to HMPV in Ohio.,Angry
Another sleepless night due to HMPV in India.,Happy
HMPV cases rising in Canada.,Happy
Doctors report new HMPV symptoms in Texas.,Angry
Good news! Fewer HMPV cases in New York.,Sad
"Finally, a vaccine for HMPV might be coming in India.",Sad
Another sleepless night due to HMPV in Florida.,Angry
I’m scared of how fast HMPV is spreading in New York.,Shocked
Why is nobody covering the HMPV outbreak in California.,Angry
"Finally, a vaccine for HMPV might be coming in Ohio.",Shocked
Huge relief—negative HMPV results in Florida.,Happy
Why is nobody covering the HMPV outbreak in California.,Happy
Why is nobody covering the HMPV outbreak in Germany.,Shocked
My child is suffering from HMPV in New York.,Angry
Good news! Fewer HMPV cases in Canada.,Happy
Another sleepless night due to HMPV in New York.,Sad
Why is nobody covering the HMPV outbreak in India.,Angry
My child is suffering from HMPV in Texas.,Angry
Another sleepless night due to HMPV in New York.,Sad
Why is nobody covering the HMPV outbreak in UK.,Sad
I’m scared of how fast HMPV is spreading in Florida.,Shocked
Media ignoring the HMPV situation in New York.,Angry
HMPV cases rising in Australia.,Happy
"Finally, a vaccine for HMPV might be coming in Germany.",Shocked
"Finally, a vaccine for HMPV might be coming in Australia.",Angry
Good news! Fewer HMPV cases in Texas.,Happy
HMPV cases rising in Germany.,Sad
Why is nobody covering the HMPV outbreak in New York.,Happy
Why is nobody covering the HMPV outbreak in Florida.,Angry
Why is nobody covering the HMPV outbreak in Australia.,Happy
I’m scared of how fast HMPV is spreading in Australia.,Angry
"Finally, a vaccine for HMPV might be coming in New York.",Happy
My child is suffering from HMPV in Canada.,Shocked
Huge relief—negative HMPV results in Germany.,Angry
"Finally, a vaccine for HMPV might be coming in Germany.",Happy
Good news! Fewer HMPV cases in UK.,Sad
Huge relief—negative HMPV results in Australia.,Shocked
Good news! Fewer HMPV cases in Texas.,Angry
Another sleepless night due to HMPV in Germany.,Sad
My child is suffering from HMPV in New York.,Angry
Media ignoring the HMPV situation in Ohio.,Shocked
"Finally, a vaccine for HMPV might be coming in California.",Shocked
Another sleepless night due to HMPV in Ohio.,Angry
Huge relief—negative HMPV results in Florida.,Sad
Media ignoring the HMPV situation in UK.,Sad
HMPV cases rising in New York.,Shocked
HMPV cases rising in UK.,Sad
Media ignoring the HMPV situation in Texas.,Angry
"Finally, a vaccine for HMPV might be coming in UK.",Shocked
Huge relief—negative HMPV results in Australia.,Sad
Huge relief—negative HMPV results in Australia.,Shocked
Another sleepless night due to HMPV in Australia.,Angry
Good news! Fewer HMPV cases in India.,Happy
My child is suffering from HMPV in Canada.,Sad
Doctors report new HMPV symptoms in Texas.,Sad
Huge relief—negative HMPV results in Australia.,Happy
Media ignoring the HMPV situation in Florida.,Shocked
"Finally, a vaccine for HMPV might be coming in California.",Sad
I’m scared of how fast HMPV is spreading in New York.,Happy
I’m scared of how fast HMPV is spreading in Texas.,Sad
Doctors report new HMPV symptoms in Ohio.,Happy
I’m scared of how fast HMPV is spreading in Canada.,Shocked
"Finally, a vaccine for HMPV might be coming in Canada.",Angry
Media ignoring the HMPV situation in California.,Happy
HMPV cases rising in Australia.,Angry
Why is nobody covering the HMPV outbreak in Texas.,Shocked
My child is suffering from HMPV in Texas.,Shocked
"Finally, a vaccine for HMPV might be coming in UK.",Shocked
Good news! Fewer HMPV cases in California.,Angry
Good news! Fewer HMPV cases in India.,Angry
"Finally, a vaccine for HMPV might be coming in Texas.",Happy
Another sleepless night due to HMPV in Germany.,Sad
Doctors report new HMPV symptoms in California.,Happy
Huge relief—negative HMPV results in Canada.,Angry
Why is nobody covering the HMPV outbreak in Ohio.,Sad
Another sleepless night due to HMPV in California.,Angry
Another sleepless night due to HMPV in Texas.,Sad
Doctors report new HMPV symptoms in Florida.,Shocked
My child is suffering from HMPV in Australia.,Happy
Huge relief—negative HMPV results in UK.,Angry
Good news! Fewer HMPV cases in Canada.,Sad
Why is nobody covering the HMPV outbreak in Canada.,Sad
Why is nobody covering the HMPV outbreak in UK.,Shocked
"Finally, a vaccine for HMPV might be coming in California.",Sad
"Finally, a vaccine for HMPV might be coming in India.",Sad
"Finally, a vaccine for HMPV might be coming in India.",Angry
Why is nobody covering the HMPV outbreak in India.,Happy
Huge relief—negative HMPV results in Canada.,Sad
Why is nobody covering the HMPV outbreak in Texas.,Happy
I’m scared of how fast HMPV is spreading in Germany.,Sad
Media ignoring the HMPV situation in Germany.,Happy
Why is nobody covering the HMPV outbreak in Texas.,Happy
I’m scared of how fast HMPV is spreading in Australia.,Angry
"Finally, a vaccine for HMPV might be coming in Australia.",Sad
I’m scared of how fast HMPV is spreading in New York.,Sad
"Finally, a vaccine for HMPV might be coming in Ohio.",Angry
Good news! Fewer HMPV cases in India.,Sad
My child is suffering from HMPV in Texas.,Sad
Why is nobody covering the HMPV outbreak in Florida.,Happy
I’m scared of how fast HMPV is spreading in UK.,Happy
I’m scared of how fast HMPV is spreading in UK.,Shocked
HMPV cases rising in California.,Shocked
Media ignoring the HMPV situation in Canada.,Happy
I’m scared of how fast HMPV is spreading in Florida.,Sad
My child is suffering from HMPV in UK.,Shocked
HMPV cases rising in India.,Shocked
HMPV cases rising in Florida.,Happy
Another sleepless night due to HMPV in Germany.,Sad
I’m scared of how fast HMPV is spreading in Ohio.,Sad
Doctors report new HMPV symptoms in UK.,Shocked
Doctors report new HMPV symptoms in Canada.,Angry
Doctors report new HMPV symptoms in Germany.,Happy
My child is suffering from HMPV in Florida.,Shocked
I’m scared of how fast HMPV is spreading in California.,Angry
"Finally, a vaccine for HMPV might be coming in Ohio.",Angry
My child is suffering from HMPV in UK.,Shocked
HMPV cases rising in UK.,Angry
Another sleepless night due to HMPV in Germany.,Shocked
My child is suffering from HMPV in Canada.,Angry
"Finally, a vaccine for HMPV might be coming in Ohio.",Happy
Media ignoring the HMPV situation in Germany.,Shocked
"Finally, a vaccine for HMPV might be coming in India.",Happy
My child is suffering from HMPV in California.,Shocked
Media ignoring the HMPV situation in New York.,Happy
"Finally, a vaccine for HMPV might be coming in UK.",Sad
My child is suffering from HMPV in UK.,Happy
Good news! Fewer HMPV cases in New York.,Angry
My child is suffering from HMPV in Australia.,Sad
Doctors report new HMPV symptoms in UK.,Happy
I’m scared of how fast HMPV is spreading in New York.,Shocked
Why is nobody covering the HMPV outbreak in UK.,Sad
Another sleepless night due to HMPV in Germany.,Sad
My child is suffering from HMPV in New York.,Sad
Good news! Fewer HMPV cases in India.,Angry
